8.1549,14.487,78.859,17.874,21.367,44.229,11.898,12.165,26.003,17.217,26.368,8.8767,17.769,24.29,27.832,27.034,21,14.568,11.661,17.81,18.253,27.262,19.088,94.862,12.435,11.723,2.9695,16.835,20.358,15.847
32.317,25.329,95.403,25.228,58.358,37.193,20.518,23.96,42.391,25.951,30.562,25,18.257,32.85,51.535,23.3,51.142,54.469,34.495,51.434,42.043,60.844,60.267,180.65,15.397,27.825,12.82,23.449,44.023,17.368
23.911,32.504,56.613,18.171,200.38,41.939,29.845,17.505,55.43,34.37,31.744,27.7,22.947,145.07,63.869,28.341,32.493,72.655,68.866,85.781,57.512,85.783,118.58,92.568,25.388,26.951,9.5071,70.765,41.527,27.851
24.532,30.849,53.5,13.897,132.51,82.909,44.355,23.031,60.847,32.082,32.851,19.635,28.111,59.411,64.449,23.191,17.693,69,47.988,37.33,75.593,58.995,64.421,88.411,30.288,31.985,7.2422,42.783,53.234,24.26
43.14,29.768,84.735,23.685,130.49,64.593,29.114,31.057,44.711,29.89,33.916,32.184,18.116,94.811,63.529,45.663,55.006,63.819,56.054,81.476,61.452,63.206,71.362,91.216,25.39,40.573,5.2326,31.75,50.361,26.081
47.176,25.285,94.739,36.362,53.328,50.682,20.897,27.003,39.614,22.391,45.57,37.137,16.267,52.302,49.788,51.504,94.56,65.197,30.511,63.313,66.89,52.093,56.007,121.17,15.836,25.994,4.093,23.848,47.166,23.574
58.403,18.062,55.003,20.046,47.167,26.471,15.227,25.278,26.698,21.466,22.328,28.179,9.475,29.403,32.153,33.305,78.329,23.732,27.081,43.431,38.125,48.019,49.288,36.646,15.483,35.86,3.5948,14.939,41.788,14.485
22.3,21.481,43.482,19.711,24.588,21.539,22.584,13.955,24.006,16.68,22.047,15.424,10.718,31.267,18.066,11.424,28.623,14.379,16.929,22.198,31.569,25.89,48.939,29.252,15.19,11.172,1.5932,23.228,20.971,10.514
14.613,12.908,31.673,22.432,12.133,18.086,18.369,8.8944,19.3,12.979,20.202,8.7942,11.531,15.769,18.071,10.996,13.314,8.25,10.098,14.777,22.545,16.167,25.642,27.892,11.296,9.4483,3.0248,10.532,15.59,16.069
23.782,9.5928,39.414,15.413,16.384,18.446,18.189,12.783,14.809,9.7987,12.665,12.798,10.57,34.152,16.741,16.647,20.567,20.729,26.095,24.731,18.963,25.071,26.966,37.844,6.2833,15.913,5.2248,16.426,15.356,8.2345
35.475,11.71,19.089,11.284,76.814,10.572,12.416,38.431,11.688,8.3611,12.74,20.786,9.5,30.314,31.52,8,20.645,24.973,30.473,23.235,37.683,44.056,33.778,15.803,6.1096,17.267,6.3583,8.7078,23.693,4.9558
8.7833,13.184,10.291,7.4854,14.689,12.874,8.9225,10.235,7.4571,6.5455,11.976,6.3182,8.3083,10.707,9.1356,4.0558,5.2346,11.711,4.8396,7.4524,20.173,16.536,10.392,11.402,3.588,6.978,2.9417,23.408,11.977,4.7319
6.7644,4.4568,9.1077,8.2811,5.751,11.369,4.9726,6.5428,4.9426,3.5656,14.657,9.4481,6.1897,17.498,7.4483,3.0876,5.6704,8.8235,6.9109,5.947,14.654,7.025,11.059,6.3946,3.8498,2.54,1.8151,4.806,6.1989,4.5278
5.538,3.8772,12.729,5.6034,6.1708,13.96,6.1146,5.2315,4.551,6.7557,6.8689,6.7675,3.1833,5.5316,10.783,10.233,4.8041,5.6838,14.791,4.2491,12.551,9.7965,9.4792,8.8146,3.2193,2.9337,2.1416,7.1361,12.385,3.4574
8.0585,4.4632,13.219,4.2237,12.282,9.9507,4.8648,10.922,4.6416,4.5012,7.3684,10.455,4.095,30.288,14.117,11.647,10.434,5.7891,14.98,9.8428,25.912,15.021,16.179,16.471,4.304,13.24,6.8103,2.3737,15.295,2.3551
10.4,9.4768,24.987,8.1085,10.085,13.595,10.064,7.5412,10.518,6.6109,10.876,7.5967,9.913,16.807,11.266,9.6531,18.143,11.704,11.519,22.277,16.819,15.5,14.608,20.23,5.8527,10.23,3.7479,7.8768,12.545,8.7552
10.627,8.5519,23.994,6.7366,5.3755,11.155,6.0708,7.2419,10.516,10.808,10.923,7.0576,9.3373,17.754,11.611,6.0899,8.763,6.6224,7.803,6.206,18.344,15.535,13.428,14.982,7.1718,8.2157,4.6063,5.6798,12.598,9.3429
6.4701,5.9109,33.768,5.3571,6.1956,11.91,5.9463,5.9077,8.671,7.3194,7.8021,6.5816,4.6875,13.49,10.707,10.709,10.615,14.847,10.027,10.17,20.096,18.109,11.227,90.082,4.6184,4.4919,3.2991,5.8153,9.8903,1.6055
4.8082,7.0107,11.607,4.6931,6.6506,6.043,4.6253,4.2007,4.3701,6.8175,6.9121,7.2417,1.9822,7.9926,7.0069,4.4636,11.718,3.3305,4.3481,6.6179,13.044,10.267,8.9371,11.326,8.8775,2.6,2.2797,6.7297,5.6074,5.4538
7.0177,7.9373,16.207,5.8274,6.8833,8.6584,8.175,4.1993,9.4891,5.7104,11.133,5.905,3.2638,8.9175,7.8958,7.0902,10.765,5.3538,7.5025,8.4167,11.452,7.5356,9.2632,12.95,4.5414,2.9259,6.0424,6.8976,10.266,4.234
8.5872,7.5426,20.726,5.6855,32.067,10.634,9.5081,6.7143,7.4697,7.9206,7.5287,8.7433,7.4254,37.056,14.857,10.771,11.14,9.1902,19.947,25.639,10.226,42.165,48.128,21.091,21.733,23.573,6.3214,4.9891,9.7891,5.24
